WBS ID,Wave,Issue,Priority,Owner Crate,Touch Crates,Acceptance Criteria,PR Split
"D20-A01","Wave A - Expression Core","Block expressions in value position","P0","sm-sema","sm-front;sm-profile;sm-sema;sm-ir","Blocks parse and type-check in expression position, lower to the same verified execution path as equivalent explicit temporaries, and ship with syntax/types/spec tests plus no prom-* changes.","PR-1 parse/profile surface; PR-2 sema and IR lowering; PR-3 golden/tests/docs"
"D20-A02","Wave A - Expression Core","if as expression","P0","sm-sema","sm-front;sm-sema;sm-ir","if/else can produce a value with branch-type unification, verified lowering matches statement-form behavior, and surface docs/tests cover value-position use.","PR-1 parser and AST shape; PR-2 sema branch typing and lowering; PR-3 compatibility/tests/docs"
"D20-A03","Wave A - Expression Core","match as expression","P0","sm-sema","sm-front;sm-sema;sm-ir","match arms can yield a value with consistent arm typing, lowering preserves current control semantics, and verified-path tests cover scalar and quad cases.","PR-1 parser shape; PR-2 sema arm unification and lowering; PR-3 tests/docs"
"D20-A04","Wave A - Expression Core","match guards","P0","sm-sema","sm-front;sm-sema;sm-ir","match supports guarded arms without nested if boilerplate, guard evaluation order is deterministic, and verified-path tests cover first-match behavior.","PR-1 parse guarded arms; PR-2 sema guard typing and ordering; PR-3 tests/docs"
"D20-A05","Wave A - Expression Core","guard clause","P0","sm-sema","sm-front;sm-sema;sm-ir","guard ... else lowers to existing early-exit semantics for return and break targets, diagnostics explain unsupported targets, and docs/tests cover validation-heavy code paths.","PR-1 syntax sugar; PR-2 sema target restrictions and lowering; PR-3 tests/docs"
"D20-B01","Wave B - Flow Density","range literals","P1","sm-sema","sm-front;sm-sema;sm-ir","Closed and half-open integer ranges parse and type-check with deterministic bounds semantics, lower without new host/runtime boundary work, and are covered by parser and IR tests.","PR-1 literal/parser support; PR-2 sema typing and lowering; PR-3 tests/docs"
"D20-B02","Wave B - Flow Density","for over range","P1","sm-sema","sm-front;sm-sema;sm-ir","for i in start..end lowers to canonical loop IR over integer ranges, preserves quota accounting, and ships with verified-path tests for inclusive and exclusive forms.","PR-1 surface syntax; PR-2 sema loop binding plus lowering; PR-3 tests/docs"
"D20-B03","Wave B - Flow Density","pipeline operator |>","P0","sm-ir","sm-front;sm-sema;sm-ir","Pipeline chains lower to ordinary call composition with left-to-right determinism, placeholder-free v0 ships first, and disasm/verified tests prove no alternate runtime path is introduced.","PR-1 parse precedence; PR-2 sema plus IR desugaring; PR-3 tests/docs"
"D20-B04","Wave B - Flow Density","expression-bodied functions","P0","sm-front","sm-front;sm-sema","fn name(args) = expr parses as a canonical function form, sema applies existing return typing, and syntax/docs/tests show exact equivalence to block bodies.","PR-1 parser surface; PR-2 sema return typing; PR-3 tests/docs"
"D20-B05","Wave B - Flow Density","short lambdas (capture-free v0)","P1","sm-sema","sm-front;sm-sema;sm-ir","Capture-free x => expr lambdas type-check as first-class callable values or are explicitly limited to call-site sugar in v0, lowering remains deterministic, and docs spell out capture limits.","PR-1 syntax and v0 scope freeze; PR-2 sema callable model and lowering; PR-3 tests/docs"
"D20-C01","Wave C - API and Data Density","named arguments","P1","sm-sema","sm-front;sm-sema;sm-ir","Call sites can bind supported parameters by name, reordering lowers to the existing positional ABI-free call path, and diagnostics cover unknown, duplicate, and mixed-ambiguity cases.","PR-1 parser call syntax; PR-2 sema name resolution and desugaring; PR-3 tests/docs"
"D20-C02","Wave C - API and Data Density","default parameters","P2","sm-sema","sm-front;sm-sema;sm-ir","Function declarations can specify default values that are lowered at call sites through existing positional calls, evaluation order is defined, and docs/tests cover explicit plus defaulted calls.","PR-1 declaration syntax; PR-2 sema default binding and lowering; PR-3 tests/docs"
"D20-C03","Wave C - API and Data Density","tuple literals and tuple types","P2","sm-runtime-core","sm-sema;sm-ir;sm-emit;sm-runtime-core;sm-vm","v0 tuple values have a narrow fixed runtime representation, type-check and lower end-to-end through SemCode and VM, and verified-path plus VM tests cover construction, pass-through, and return.","PR-1 runtime-core and emit shape; PR-2 sema and IR adoption; PR-3 VM/tests/docs"
"D20-C04","Wave C - API and Data Density","destructuring bind","P2","sm-sema","sm-front;sm-sema;sm-ir","let destructuring for tuples ships with clear arity diagnostics, lowers to ordinary bindings without new runtime behavior, and verified tests cover nested and partial failure cases.","PR-1 pattern syntax; PR-2 sema arity/type checks and lowering; PR-3 tests/docs"
"D20-C05","Wave C - API and Data Density","destructuring assignment","P2","sm-sema","sm-front;sm-sema;sm-ir","Assignment destructuring for already-supported tuple shapes lowers through explicit temporaries to preserve left-to-right determinism, and tests cover swap-style updates.","PR-1 assignment syntax; PR-2 sema target legality and lowering; PR-3 tests/docs"
"D20-C06","Wave C - API and Data Density","compound assignment","P0","sm-ir","sm-front;sm-sema;sm-ir","Operators like += and &= desugar to read-modify-write over existing scalar semantics, preserve overflow and type rules, and ship with parser, IR, and verified-path tests.","PR-1 syntax and operator table; PR-2 sema legality and IR desugaring; PR-3 tests/docs"
"D20-D01","Wave D - Compile-time Contract Density","const declarations","P1","sm-sema","sm-front;sm-sema;sm-ir","const bindings evaluate only compile-time-safe expressions, remain distinct from runtime mutable bindings, and docs/tests define exactly where const propagation is allowed.","PR-1 declaration surface; PR-2 sema const-eval rules; PR-3 tests/docs"
"D20-D02","Wave D - Compile-time Contract Density","extended numeric literals","P1","sm-front","sm-front;sm-sema","Numeric literals gain separators, radix forms, and suffix coverage for supported core numeric types, diagnostics stay precise, and docs update the canonical literal contract honestly.","PR-1 lexer/parser surface; PR-2 sema literal typing and diagnostics; PR-3 tests/docs"
"D20-D03","Wave D - Compile-time Contract Density","loop as expression plus break value","P2","sm-sema","sm-front;sm-sema;sm-ir","loop can yield a value via break expr with deterministic type unification, lowering stays within existing control-flow machinery, and verified tests cover success and type-error paths.","PR-1 syntax and AST; PR-2 sema break-value typing and lowering; PR-3 tests/docs"
"D20-D04","Wave D - Compile-time Contract Density","assert builtin contract","P1","sm-sema","sm-front;sm-sema;sm-ir;sm-runtime-core","assert(expr) lowers to the existing fail-fast core path without prom-* effects, supports clear source diagnostics, and verified execution tests prove deterministic failure behavior.","PR-1 builtin surface; PR-2 sema/lowering to existing core failure path; PR-3 tests/docs"
