Release,WBS ID,Merge Order,Issue,Priority,Owner Crate,Touch Crates,Depends On,Acceptance Criteria
"v0.1","V01-01","01","Expression-valued control core","P0","sm-sema","sm-front;sm-profile;sm-sema;sm-ir","","Block expressions plus if/match in value position parse, type-check, lower through the existing verified path, and ship with syntax/spec/compatibility tests without touching prom-*."
"v0.1","V01-02","02","Guarded control core","P0","sm-sema","sm-front;sm-sema;sm-ir","V01-01","match guards and guard clauses lower to explicit control flow with deterministic evaluation order, unsupported targets produce precise diagnostics, and verified-path tests cover success and failure cases."
"v0.1","V01-03","03","Composition surface","P0","sm-ir","sm-front;sm-sema;sm-ir","V01-01","Pipeline operator and expression-bodied functions desugar to existing call and return semantics, keep left-to-right determinism, and expose desugaring notes in spec/tests."
"v0.1","V01-04","04","Lambda and wildcard pattern surface","P1","sm-sema","sm-front;sm-sema;sm-ir","V01-03","Capture-free short lambdas plus wildcard/discard patterns ship with explicit v0 limits, no alternate runtime path, and parser/sema/tests/docs for call-site use."
"v0.1","V01-05","05","Flow density primitives","P1","sm-sema","sm-front;sm-sema;sm-ir","V01-01","Range literals, for-over-range, and compound assignment lower through canonical loop and read-modify-write IR, preserve current quota/type behavior, and have verified-path coverage."
"v0.1","V01-06","06","Call-site density","P1","sm-sema","sm-front;sm-sema;sm-ir","V01-03","Named arguments reorder cleanly onto existing positional call semantics, diagnostics cover unknown and duplicate names, and public docs define mixed-call legality."
"v0.1","V01-07","07","Contract visibility basics","P1","sm-sema","sm-front;sm-sema;sm-ir;sm-runtime-core","V01-01","assert(expr) lowers to the existing fail-fast core path, desugaring visibility is available in tooling/docs, and verified execution tests prove deterministic failure reporting."
"v0.1","V01-08","08","Const and literal density","P1","sm-front","sm-front;sm-sema;sm-ir","V01-01","const declarations and expanded numeric literal forms parse and type-check honestly, compile-time restrictions are explicit, and canonical literal/const docs are updated."
"v0.2","V02-01","09","Tuple value model","P1","sm-runtime-core","sm-sema;sm-ir;sm-emit;sm-runtime-core;sm-vm","","Tuple literals, tuple types, and tuple return values work end-to-end through SemCode and VM with a narrow canonical representation and verified-path coverage."
"v0.2","V02-02","10","Tuple destructuring and let-else","P1","sm-sema","sm-front;sm-sema;sm-ir","V02-01","Tuple destructuring binds, destructuring assignment, and let-else lower through explicit temporaries and guard-style exits, preserve deterministic order, and report arity/target errors clearly."
"v0.2","V02-03","11","Record value model and immutable update","P1","sm-runtime-core","sm-front;sm-sema;sm-ir;sm-emit;sm-runtime-core;sm-vm","V02-01","Canonical record values, field access, and copy-with update syntax ship with one runtime representation, deterministic update semantics, and verified-path plus VM tests."
"v0.2","V02-04","12","ADT and sum-type core","P0","sm-sema","sm-front;sm-sema;sm-ir;sm-emit;sm-runtime-core;sm-vm","V02-01","Algebraic sum types parse, type-check, lower, and execute through one canonical tagged representation with docs and tests for constructors and case analysis."
"v0.2","V02-05","13","Exhaustive match enforcement","P0","sm-sema","sm-front;sm-sema","V02-04","match over canonical ADT, Result, and Option surfaces enforces exhaustiveness with precise diagnostics and no silent fallback behavior."
"v0.2","V02-06","14","Result and Option first-class ergonomics","P0","sm-sema","sm-front;sm-sema;sm-ir;sm-runtime-core;sm-vm","V02-04; V02-05","Result and Option become first-class standard forms with canonical constructors, match ergonomics, and verified execution tests over success/none/error flows."
"v0.2","V02-07","15","Units of measure","P1","sm-sema","sm-front;sm-sema;sm-ir","V01-08","Core numeric types can carry a first-wave unit annotation, unit mismatches are compile-time errors, and docs define conversion/non-conversion rules honestly."
"v0.2","V02-08","16","Function contracts and invariants","P2","sm-sema","sm-front;sm-sema;sm-ir;sm-runtime-core","V01-07","First-wave requires/ensures/invariant surface lowers to explicit contract checks or compile-time restrictions without hidden runtime semantics, and diagnostics/spec/tests are canonical."
"v0.2","V02-09","17","Default parameter semantics","P2","sm-sema","sm-front;sm-sema;sm-ir","V01-06","Default parameters bind at call sites with deterministic evaluation order, remain compatible with named arguments, and docs/tests define explicit versus defaulted behavior."
"v0.3","V03-01","18","Schema-first declarations","P0","sm-sema","sm-front;sm-profile;sm-sema;sm-ir;smc-cli","","Canonical schema declarations for records, tagged unions, and config/API models exist, stay separate from prom-* integration, and are gated cleanly through profile/edition rules."
"v0.3","V03-02","19","Validation derived from schemas and types","P0","sm-sema","sm-sema;sm-ir;smc-cli","V03-01","Validation logic can be derived from canonical schema/type declarations, generated checks are deterministic and inspectable, and error docs/specs cover generated validation failures."
"v0.3","V03-03","20","Config schema contract","P1","smc-cli","sm-front;sm-sema;smc-cli","V03-01; V03-02","Typed config schemas support parse plus validation for canonical config files, diagnostics are user-facing and stable, and no alternate config truth layer is introduced."
"v0.3","V03-04","21","Generated API contract surface","P1","smc-cli","sm-sema;sm-ir;smc-cli","V03-01; V03-02","Canonical schemas can generate stable API contract artifacts without hand-maintained duplicates, and generated outputs are clearly versioned and reproducible."
"v0.3","V03-05","22","Versioned schemas and migrations","P1","sm-sema","sm-sema;sm-ir;smc-cli","V03-01; V03-04","Schema versions, compatibility rules, and migration metadata are explicit, diffable, and testable, with stable docs for additive versus breaking evolution."
"v0.3","V03-06","23","Tagged wire unions and patch types","P2","sm-sema","sm-front;sm-sema;sm-ir;smc-cli","V02-04; V03-01","Tagged wire-format unions and partial/patch types derive from canonical declarations, preserve determinism, and keep serialization/update semantics explicit in docs and tests."
